,title,category,content
16,5G NR Cyclic Prefix (CP) Design,Layer 1: Physical Layer – PHY,"Cyclic prefix (CP) refers to the prefixing of a symbol, with a repetition of the end In OFDM wireless systems. The receiver is typically configured to discard the cyclic prefix samples A CP  can be used to counter the effects of multipath propagation. The basics of CP is available in following post."
17,"5G NR Quasi-Colocation Concept, Types and Application",Layer 1: Physical Layer – PHY,"Two signals transmitted from same antenna port shall experience the same radio channel, where as transmitting it from two different antenna ports shall experience different radio conditions. But there can be some cases where transmitting signals from two different antenna ports experience radio channels having common properties. In such cases the antenna ports said to be Quasi-Colocation (QCL)."
18, 5G NR CORESET – Control Resource Set,Layer 1: Physical Layer – PHY,"In 5G NR, CORESET is known as Control Resource Set. It is a set of physical resources within a specific area in Downlink Resource Grid and used to carry PDCCH (DCI). NR PDCCHs are specifically designed to transmit in a configurable control resource set (CORESET)."
19,5G NR Transport Block Calculation,Layer 1: Physical Layer – PHY,"Transport Block  in 5G NR, is nothing but the payload which is passed between the MAC and Phy Layers, specifically for the shared data channel such as PDSCH and PUSCH. A Transport Block undergoes Phy layer processing at the transmitter before being mapped onto the PDSCH for transmission over the air interface. A Transport block is added with CRC and segmented into code blcoks as shown as below. The transport The transport block consists of up to million bits and the code block consists of up to 8448 bits."
20,5G NR SR – Scheduling Request,Layer 1: Physical Layer – PHY,Introduction
21,5G NR RACH Procedure Overview – CBRA and CFRA,Layer 2: Media Access Control – MAC,"When we want to connect a UE to 5G network, it has to synchronize in downlink as well as in uplink. Downlink synchronization is obtained after successfully decoding SSB, In order to establish uplink synchronization and RRC connection, UE has to perform RACH random access procedure."
22,5G NR RA-RNTI Calculation,Layer 2: Media Access Control – MAC,A 5G UE picks a random preamble for RACH procedure to get the uplink synchronisation. The preamble is referenced with an ID know as  RAPID (Random Access Preamble ID). 5G preamble is also use Zadoff-Chu sequence. Each preamble transmission is associated with an RA-RNTI.
23,5G NR PRACH Power Control: MSG1 Tx Power – Open Loop Power,Layer 2: Media Access Control – MAC,"In any wireless System, when a device (UE) needs to get access  it has to send a signal or preamble (MSG1) to base station (gNB), then energy is needed. One might have question, at what power it needs to send the preamble so that it is detected successfully ?  The 3GPP specification, 38.213 gives the  following formula about PRACH power control calculation."
24,5G NR Msg2 Random Access Response (RAR),Layer 2: Media Access Control – MAC,"In 5G NR,  the initial access include down-link synchronisation and up-link synchronisation procedures. Downlink synchronisation can be achieved after decoding Minimum System Information (SSB-MIB) and Remaining System Inforatmion (RMSI- SIB 1)."
25,5G MSG3 – PUSCH Scheduled Transmission by RAR UL grant,Layer 2: Media Access Control – MAC,Introduction
26,5G NR Timing Advance: RAR TA and MAC-CE TA,Layer 2: Media Access Control – MAC,"Timing Advance (TA) is a command sent by Base Station (BS) to UE to adjust its uplink transmission means that the UE sends UL symbols in advance according to command for i.e. PUSCH, PUCCH and SRS transmission. Timing Advance Command (TAC) informs the UE  the amount of time that it needs to advance the UL transmissions."
27,5G MAC BSR Buffer Status Report,Layer 2: Media Access Control – MAC,"The Buffer Status reporting (BSR) is a MAC layer procedure which is used by the UE to provide information about the amount of data available for transmission in the UL buffers to the serving gNB. In simple words, we can say that, BSR is a MAC layer message from UE to gNB informing that I have something to transmit, can you please give me a Grant to send this data?. Then gNB would allocate the bare minimum amount of UL Grant i.e. PUSCH resource in terms of RBs, if the resource is available."
28,5G NR Beam Failure Recovery – BFR,Layer 2: Media Access Control – MAC,"The 5G communication specially at higher frequencies or mmWave is using Massive MIMO with Beamforming. Beamforming is a signal processing technique that allows gNB send targeted beams of data to users, reducing interference and making more efficient use of the frequency spectrum with improved spectral efficiency."
